crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv
1,0,8.14,0,0.538,7,87.3,4,4,307,21,380.23,11.98,21
1,0,8.14,0,0.538,6,94.1,4,4,307,21,360.17,22.6,12.7
1,0,8.14,0,0.538,6,100,4,4,307,21,376.73,13.04,14.5
1,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71,13.2
1,0,8.14,0,0.538,6,95,4,4,307,21,358.77,18.35,13.1
2,0,8.14,0,0.538,6,96.9,4,4,307,21,248.31,20.34,13.5
0.06417,0,5.96,0,0.499,6,68.2,3,5,279,19.2,396.9,9.68,18.9
0.09744,0,5.96,0,0.499,6,61.4,3,5,279,19.2,377.56,11.41,20
0.08014,0,5.96,0,0.499,5.85,41.5,4,5,279,19.2,396.9,8.77,21
0.17505,0,5.96,0,0.499,6,30.2,4,5,279,19.2,393.43,10.13,24.7
0.02763,75,2.95,0,0.428,7,21.8,5,3,252,18.3,395.63,4.32,30.8
0.03359,75,2.95,0,0.428,7,15.8,5,3,252,18.3,395.62,1.98,34.9
0.12744,0,6.91,0,0.448,6.77,2.9,6,3,233,17.9,385.41,4.84,26.6
0.1415,0,6.91,0,0.448,6,6.6,6,3,233,17.9,383.37,5.81,25.3
0.15936,0,6.91,0,0.448,6,6.5,6,3,233,17.9,394.46,7.44,24.7
0.12269,0,6.91,0,0.448,6,40,6,3,233,17.9,389.39,9.55,21.2
0.17142,0,6.91,0,0.448,6,33.8,5,3,233,17.9,396.9,10.21,19.3
0.18836,0,6.91,0,0.448,6,33.3,5,3,233,17.9,396.9,14.15,20
0.22927,0,6.91,0,0.448,6.03,85.5,6,3,233,17.9,392.74,18.8,16.6
0.25387,0,6.91,0,0.448,5,95.3,5.87,3,233,17.9,396.9,30.81,14.4
0.21977,0,6.91,0,0.448,6,62,6,3,233,17.9,396.9,16.2,19.4
0.08873,21,5.64,0,0.439,6,45.7,7,4,243,16.8,395.56,13.45,19.7
0.04337,21,5.64,0,0.439,6,63,7,4,243,16.8,393.97,9.43,20.5
0.0536,21,5.64,0,0.439,7,21.1,7,4,243,16.8,396.9,5.28,25
0.04981,21,5.64,0,0.439,6,21.4,7,4,243,16.8,396.9,8.43,23.4
0.0136,75,4,0,0.41,6,47.6,7,3,469,21.1,396.9,14.8,18.9
0.01311,90,1.22,0,0.403,7,21.9,9,5,226,17.9,395.93,4.81,35.4
0.02055,85,0.74,0,0.41,6,35.7,9,2,313,17.3,396.9,5.77,24.7
0.01432,100,1.32,0,0.411,7,40.5,8,5,256,15.1,392.9,3.95,31.6
0.15445,25,5.13,0,0.453,6,29.2,8,8,284,19.7,390.68,6.86,23.3
0.10328,25,5.13,0,0.453,6,47.2,7,8,284,19.7,396.9,9.22,19.6
0.14932,25,5.13,0,0.453,6,66.2,7,8,284,19.7,395.11,13.15,18.7
0.17171,25,5.13,0,0.453,6,93.4,7,8,284,19.7,378.08,14.44,16
0.11027,25,5.13,0,0.453,6,67.8,7,8,284,19.7,396.9,6.73,22.2
0.1265,25,5.13,0,0.453,7,43.4,8,8,284,19.7,395.58,9.5,25
0.01951,17.5,1.38,0,0.4161,7,59.5,9,3,216,18.6,393.24,8.05,33
0.03584,80,3.37,0,0.398,6.29,17.8,7,4,337,16.1,396.9,4.67,23.5
0.04379,80,3.37,0,0.398,6,31.1,7,4,337,16.1,396.9,10.24,19.4
0.05789,12.5,6.07,0,0.409,6,21.4,6,4,345,18.9,396.21,8.1,22
0.13554,12.5,6.07,0,0.409,6,36.8,6,4,345,18.9,396.9,13.09,17.4
0.12816,12.5,6.07,0,0.409,6,33,6,4,345,18.9,396.9,8.79,20.9
0.08826,0,10.81,0,0.413,6,6.6,5,4,305,19.2,383.73,6.72,24.2
0.15876,0,10.81,0,0.413,6,17.5,5,4,305,19.2,376.94,9.88,21.7
0.09164,0,10.81,0,0.413,6,7.8,5,4,305,19.2,390.91,5.52,22.8
0.19539,0,10.81,0,0.413,6,6.2,5,4,305,19.2,377.17,7.54,23.4
0.07896,0,12.83,0,0.437,6,6,4,5,398,18.7,394.92,6.78,24.1
0.09512,0,12.83,0,0.437,6,45,5,5,398,18.7,383.23,8.94,21.4
0.10153,0,12.83,0,0.437,6,74.5,4,5,398,18.7,373.66,11.97,20
0.08707,0,12.83,0,0.437,6.14,45.8,4,5,398,18.7,386.96,10.27,20.8
0.05646,0,12.83,0,0.437,6,53.7,5,5,398,18.7,386.4,12.34,21.2
0.08387,0,12.83,0,0.437,6,36.6,5,5,398,18.7,396.06,9.1,20.3
0.04113,25,4.86,0,0.426,7,33.5,5,4,281,19,396.9,5.29,28
0.04462,25,4.86,0,0.426,7,70.4,5,4,281,19,395.63,7.22,23.9
0.03659,25,4.86,0,0.426,6,32.2,5,4,281,19,396.9,6.72,24.8
0.03551,25,4.86,0,0.426,6,46.7,5,4,281,19,390.64,7.51,22.9
0.05059,0,4.49,0,0.449,6,48,5,3,247,18.5,396.9,9.62,23.9
0.05735,0,4.49,0,0.449,6.63,56.1,4,3,247,18.5,392.3,6.53,26.6
0.05188,0,4.49,0,0.449,6,45.1,4,3,247,18.5,395.99,12.86,22.5
0.07151,0,4.49,0,0.449,6,56.8,4,3,247,18.5,395.15,8.44,22.2
0.0566,0,3.41,0,0.489,7,86.3,3,2,270,17.8,396.9,5.5,23.6
0.05302,0,3.41,0,0.489,7,63.1,3,2,270,17.8,396.06,5.7,28.7
0.04684,0,3.41,0,0.489,6,66.1,3,2,270,17.8,392.18,8.81,22.6
0.03932,0,3.41,0,0.489,6,73.9,3,2,270,17.8,393.55,8.2,22
0.04203,28,15.04,0,0.464,6,53.6,4,4,270,18.2,395.01,8.16,22.9
0.02875,28,15.04,0,0.464,6,28.9,4,4,270,18.2,396.33,6.21,25
0.04294,28,15.04,0,0.464,6,77.3,4,4,270,18.2,396.9,10.59,20.6
0.12204,0,2.89,0,0.445,7,57.8,3,2,276,18,357.98,6.65,28.4
0.11504,0,2.89,0,0.445,6,69.6,3,2,276,18,391.83,11.34,21.4
0.12083,0,2.89,0,0.445,8,76,3,2,276,18,396.9,4.21,38.7
0.08187,0,2.89,0,0.445,7.82,36.9,3,2,276,18,393.53,3.57,43.8
0.0686,0,2.89,0,0.445,7,62.5,3,2,276,18,396.9,6.19,33.2
0.14866,0,8.56,0,0.52,7,79.9,3,5,384,20.9,394.76,9.42,27.5
0.11432,0,8.56,0,0.52,7,71.3,3,5,384,20.9,395.58,7.67,26.5
0.22876,0,8.56,0,0.52,6,85.4,3,5,384,20.9,70.8,10.63,18.6
0.21161,0,8.56,0,0.52,6,87.4,3,5,384,20.9,394.47,13.44,19.3
0.1396,0,8.56,0,0.52,6,90,2,5,384,20.9,392.69,12.33,20.1
0.13262,0,8.56,0,0.52,6,96.7,2,5,384,20.9,394.05,16.47,19.5
0.1712,0,8.56,0,0.52,6,91.9,2,5,384,20.9,395.67,18.66,19.5
0.13117,0,8.56,0,0.52,6,85.2,2,5,384,20.9,387.69,14.09,20.4
0.12802,0,8.56,0,0.52,6,97.1,2,5,384,20.9,395.24,12.27,19.8
0.26363,0,8.56,0,0.52,6,91.2,3,5,384,20.9,391.23,15.55,19.4
0.10793,0,8.56,0,0.52,6,54.4,3,5,384,20.9,393.49,13,21.7
0.10084,0,10.01,0,0.547,7,81.6,3,6,432,17.8,395.59,10.16,22.8
0.12329,0,10.01,0,0.547,6,92.9,2,6,432,17.8,394.95,16.21,18.8
0.22212,0,10.01,0,0.547,6,95.4,3,6,432,17.8,396.9,17.09,18.7
0.14231,0,10.01,0,0.547,6,84.2,2,6,432,17.8,388.74,10.45,18.5
0.17134,0,10.01,0,0.547,6,88.2,2,6,432,17.8,344.91,15.76,18.3
0.13158,0,10.01,0,0.547,6,72.5,3,6,432,17.8,393.3,12.04,21.2
0.15098,0,10.01,0,0.547,6,82.6,3,6,432,17.8,394.51,10.3,19.2
0.13058,0,10.01,0,0.547,6,73.1,2,6,432,17.8,338.63,15.37,20.4
0.14476,0,10.01,0,0.547,6,65.2,3,6,432,17.8,391.5,13.61,19.3
0.06899,0,25.65,0,0.581,5.87,69.7,2,2,188,19.1,389.15,14.37,22
0.07165,0,25.65,0,0.581,6,84.1,2,2,188,19.1,377.67,14.27,20.3
0.09299,0,25.65,0,0.581,6,92.9,2,2,188,19.1,378.09,17.93,20.5
0.15038,0,25.65,0,0.581,6,97,2,2,188,19.1,370.31,25.41,17.3
0.09849,0,25.65,0,0.581,6,95.8,2,2,188,19.1,379.38,17.58,18.8
0.16902,0,25.65,0,0.581,6,88.4,2,2,188,19.1,385.02,14.81,21.4
0.38735,0,25.65,0,0.581,6,95.6,2,2,188,19.1,359.29,27.26,15.7
0.25915,0,21.89,0,0.624,6,96,2,4,437,21.2,392.11,17.19,16.2
0.32543,0,21.89,0,0.624,6,98.8,2,4,437,21.2,396.9,15.39,18
0.88125,0,21.89,0,0.624,6,94.7,2,4,437,21.2,396.9,18.34,14.3
0.34006,0,21.89,0,0.624,6,98.9,2,4,437,21.2,395.04,12.6,19.2
1,0,21.89,0,0.624,6,97.7,2,4,437,21.2,396.9,12.26,19.6
0.59005,0,21.89,0,0.624,6,97.9,2,4,437,21.2,385.76,11.12,23
0.32982,0,21.89,0,0.624,6,95.4,2,4,437,21.2,388.69,15.03,18.4
0.97617,0,21.89,0,0.624,6,98.4,2,4,437,21.2,262.76,17.31,15.6
0.55778,0,21.89,0,0.624,6,98.2,2,4,437,21.2,394.67,16.96,18.1
0.32264,0,21.89,0,0.624,6,93.5,2,4,437,21.2,378.25,16.9,17.4
0.35233,0,21.89,0,0.624,6,98.4,2,4,437,21.2,394.08,14.59,17.1
0.2498,0,21.89,0,0.624,6,98.2,2,4,437,21.2,392.04,21.32,13.3
0.54452,0,21.89,0,0.624,6,97.9,2,4,437,21.2,396.9,18.46,17.8
0.2909,0,21.89,0,0.624,6,93.6,2,4,437,21.2,388.08,24.16,14
2,0,21.89,0,0.624,5,100,1,4,437,21.2,396.9,34.41,14.4
3,0,19.58,1,0.871,5,100,1,5,403,14.7,396.9,26.82,13.4
4,0,19.58,0,0.871,5,100,1,5,403,14.7,396.9,26.42,15.6
3,0,19.58,0,0.871,5,97.8,1,5,403,14.7,396.9,29.29,11.8
2,0,19.58,0,0.871,6.13,100,1,5,403,14.7,172.91,27.8,13.8
2,0,19.58,0,0.871,6,100,2,5,403,14.7,169.27,16.65,15.6
2,0,19.58,0,0.871,5,95.7,1,5,403,14.7,391.71,29.53,14.6
2,0,19.58,0,0.871,5,93.8,2,5,403,14.7,356.99,28.32,17.8
3,0,19.58,0,0.871,6,94.9,2,5,403,14.7,351.85,21.45,15.4
2,0,19.58,0,0.871,6,97.3,2,5,403,14.7,372.8,14.1,21.5
1,0,19.58,0,0.871,5,100,2,5,403,14.7,341.6,13.28,19.6
1,0,19.58,1,0.871,5,88,2,5,403,14.7,343.28,12.12,15.3
2,0,19.58,0,0.871,6,98.5,2,5,403,14.7,261.95,15.79,19.4
1,0,19.58,1,0.871,6,96,2,5,403,14.7,321.02,15.12,17
4,0,19.58,1,0.871,6,82.6,2,5,403,14.7,88.01,15.02,15.6
2,0,19.58,0,0.871,5,94,2,5,403,14.7,88.63,16.14,13.1
1,0,19.58,0,0.605,7,97.4,2,5,403,14.7,363.43,4.59,41.3
1,0,19.58,0,0.605,6,100,2,5,403,14.7,353.89,6.43,24.3
1,0,19.58,0,0.871,6.51,100,2,5,403,14.7,364.31,7.39,23.3
1,0,19.58,1,0.605,6.25,92.6,2,5,403,14.7,338.92,5.5,27
1,0,19.58,0,0.605,7,90.8,2,5,403,14.7,374.43,1.73,50
2,0,19.58,1,0.605,8,98.2,2,5,403,14.7,389.61,1.92,50
2,0,19.58,1,0.605,8,93.9,2,5,403,14.7,388.45,3.32,50
2,0,19.58,0,0.605,6,91.8,2,5,403,14.7,395.11,11.64,22.7
3,0,19.58,0,0.605,6,93,2,5,403,14.7,240.16,9.81,25
2,0,19.58,0,0.605,8,96.2,2,5,403,14.7,369.3,3.7,50
2,0,19.58,0,0.605,6,79.2,2,5,403,14.7,227.61,12.14,23.8
2,0,19.58,0,0.605,6,96.1,2.1,5,403,14.7,297.09,11.1,23.8
2,0,19.58,0,0.605,6,95.2,2,5,403,14.7,330.04,11.32,22.3
1,0,19.58,0,0.605,6,94.6,2,5,403,14.7,292.29,14.43,17.4
2,0,19.58,0,0.605,5.88,97.3,2,5,403,14.7,348.13,12.03,19.1
0.13914,0,4.05,0,0.51,6,88.5,3,5,296,16.6,396.9,14.69,23.1
0.09178,0,4.05,0,0.51,6,84.1,3,5,296,16.6,395.5,9.04,23.6
0.08447,0,4.05,0,0.51,6,68.7,3,5,296,16.6,393.23,9.64,22.6
0.06664,0,4.05,0,0.51,7,33.1,3,5,296,16.6,390.96,5.33,29.4
0.07022,0,4.05,0,0.51,6.02,47.2,4,5,296,16.6,393.23,10.11,23.2
0.05425,0,4.05,0,0.51,6,73.4,3,5,296,16.6,395.6,6.29,24.6
0.06642,0,4.05,0,0.51,6.86,74.4,3,5,296,16.6,391.27,6.92,29.9
0.0578,0,2.46,0,0.488,6.98,58.4,3,3,193,17.8,396.9,5.04,37.2
0.06588,0,2.46,0,0.488,8,83.3,3,3,193,17.8,395.56,7.56,39.8
0.06888,0,2.46,0,0.488,6,62.2,3,3,193,17.8,396.9,9.45,36.2
0.09103,0,2.46,0,0.488,7,92.2,3,3,193,17.8,394.12,4.82,37.9
0.10008,0,2.46,0,0.488,7,95.6,3,3,193,17.8,396.9,5.68,32.5
0.08308,0,2.46,0,0.488,6,89.8,3,3,193,17.8,391,13.98,26.4
0.06047,0,2.46,0,0.488,6,68.8,3,3,193,17.8,387.11,13.15,29.6
0.05602,0,2.46,0,0.488,8,53.6,3,3,193,17.8,392.63,4.45,50
0.07875,45,3.44,0,0.437,7,41.1,4,5,398,15.2,393.87,6.68,32
0.12579,45,3.44,0,0.437,7,29.1,5,5,398,15.2,382.84,4.56,29.8
0.0837,45,3.44,0,0.437,7,38.9,5,5,398,15.2,396.9,5.39,34.9
0.09068,45,3.44,0,0.437,7,21.5,6,5,398,15.2,377.68,5.1,37
0.06911,45,3.44,0,0.437,7,30.8,6,5,398,15.2,389.71,4.69,30.5
0.08664,45,3.44,0,0.437,7,26.3,6,5,398,15.2,390.49,2.87,36.4
0.02187,60,2.93,0,0.401,6.8,9.9,6,1,265,15.6,393.37,5.03,31.1
0.01439,60,2.93,0,0.401,7,18.8,6,1,265,15.6,376.7,4.38,29.1
0.01381,80,0.46,0,0.422,8,32,6,4,255,14.4,394.23,2.97,50
0.04011,80,1.52,0,0.404,7,34.1,7,2,329,12.6,396.9,4.08,33.3
0.04666,80,1.52,0,0.404,7,36.6,7,2,329,12.6,354.31,8.61,30.3
0.03768,80,1.52,0,0.404,7,38.3,7,2,329,12.6,392.2,6.62,34.6
0.0315,95,1.47,0,0.403,7,15.3,8,3,402,17,396.9,4.56,34.9
0.01778,95,1.47,0,0.403,7,13.9,8,3,402,17,384.3,4.45,32.9
0.03445,82.5,2.03,0,0.415,6,38.4,6.27,2,348,14.7,393.77,7.43,24.1
0.02177,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,395.38,3.11,42.3
0.0351,95,2.68,0,0.4161,8,33.2,5,4,224,14.7,392.78,3.81,48.5
0.02009,95,2.68,0,0.4161,8,31.9,5,4,224,14.7,390.55,2.88,50
0.13642,0,10.59,0,0.489,6,22.3,4,4,277,18.6,396.9,10.87,22.6
0.22969,0,10.59,0,0.489,6,52.5,4,4,277,18.6,394.87,10.97,24.4
0.25199,0,10.59,0,0.489,6,72.7,4,4,277,18.6,389.43,18.06,22.5
0.13587,0,10.59,1,0.489,6,59.1,4,4,277,18.6,381.32,14.66,24.4
0.43571,0,10.59,1,0.489,5,100,4,4,277,18.6,396.9,23.09,20
0.17446,0,10.59,1,0.489,5.96,92.1,4,4,277,18.6,393.25,17.27,21.7
0.37578,0,10.59,1,0.489,5,88.6,4,4,277,18.6,395.24,23.98,19.3
0.21719,0,10.59,1,0.489,6,53.8,4,4,277,18.6,390.94,16.03,22.4
0.14052,0,10.59,0,0.489,6,32.3,4,4,277,18.6,385.81,9.38,28.1
0.28955,0,10.59,0,0.489,5,9.8,4,4,277,18.6,348.93,29.55,23.7
0.19802,0,10.59,0,0.489,6,42.4,4,4,277,18.6,393.63,9.47,25
0.0456,0,13.89,1,0.55,6,56,3,5,276,16.4,392.8,13.51,23.3
0.07013,0,13.89,0,0.55,7,85.1,3,5,276,16.4,392.78,9.69,28.7
0.11069,0,13.89,1,0.55,6,93.8,3,5,276,16.4,396.9,17.92,21.5
0.11425,0,13.89,1,0.55,6,92.4,3,5,276,16.4,393.74,10.5,23
0.35809,0,6.2,1,0.507,7,88.5,3,8,307,17.4,391.7,9.71,26.7
0.40771,0,6.2,1,0.507,6,91.3,3,8,307,17.4,395.24,21.46,21.7
0.62356,0,6.2,1,0.507,7,77.7,3,8,307,17.4,390.39,9.93,27.5
0.6147,0,6.2,0,0.507,7,80.8,3,8,307,17.4,396.9,7.6,30.1
0.31533,0,6.2,0,0.504,8,78.3,3,8,307,17.4,385.05,4.14,44.8
0.52693,0,6.2,0,0.504,9,83,3,8,307,17.4,382,4.63,50
0.38214,0,6.2,0,0.504,8.04,86.5,3,8,307,17.4,387.38,3.13,37.6
0.41238,0,6.2,0,0.504,7,79.9,3,8,307,17.4,372.08,6.36,31.6
0.29819,0,6.2,0,0.504,8,17,3,8,307,17.4,377.51,3.92,46.7
0.44178,0,6.2,0,0.504,7,21.4,3,8,307,17.4,380.34,3.76,31.5
0.537,0,6.2,0,0.504,6,68.1,4,8,307,17.4,378.35,11.65,24.3
0.46296,0,6.2,0,0.504,7,76.9,4,8,307,17.4,376.14,5.25,31.7
0.57529,0,6.2,0,0.507,8,73.3,4,8,307,17.4,385.91,2.47,41.7
0.33147,0,6.2,0,0.507,8,70.4,4,8,307,17.4,378.95,3.95,48.3
0.44791,0,6.2,1,0.507,7,66.5,4,8,307,17.4,360.2,8.05,29
0.33045,0,6.2,0,0.507,6,61.5,4,8,307,17.4,376.75,10.88,24
0.52058,0,6.2,1,0.507,7,76.5,4,8,307,17.4,388.45,9.54,25.1
0.51183,0,6.2,0,0.507,7,71.6,4,8,307,17.4,390.07,4.73,31.5
0.08244,30,4.93,0,0.428,6,18.5,6,6,300,16.6,379.41,6.36,23.7
0.09252,30,4.93,0,0.428,7,42.2,6,6,300,16.6,383.78,7.37,23.3
0.11329,30,4.93,0,0.428,7,54.3,6,6,300,16.6,391.25,11.38,22
0.10612,30,4.93,0,0.428,6,65.1,6,6,300,16.6,394.62,12.4,20.1
0.1029,30,4.93,0,0.428,6,52.9,7,6,300,16.6,372.75,11.22,22.2
0.12757,30,4.93,0,0.428,6,7.8,7,6,300,16.6,374.71,5.19,23.7
0.20608,22,5.86,0,0.431,6,76.5,8,7,330,19.1,372.49,12.5,17.6
0.19133,22,5.86,0,0.431,6,70.2,8,7,330,19.1,389.13,18.46,18.5
0.33983,22,5.86,0,0.431,6,34.9,8,7,330,19.1,390.18,9.16,24.3
0.19657,22,5.86,0,0.431,6,79.2,8,7,330,19.1,376.14,10.15,20.5
0.16439,22,5.86,0,0.431,6,49.1,8,7,330,19.1,374.71,9.52,24.5
0.19073,22,5.86,0,0.431,7,17.5,8,7,330,19.1,393.74,6.56,26.2
0.1403,22,5.86,0,0.431,6,13,7,7,330,19.1,396.28,5.9,24.4
0.21409,22,5.86,0,0.431,6,8.9,7,7,330,19.1,377.07,3.59,24.8
0.08221,22,5.86,0,0.431,7,6.8,9,7,330,19.1,386.09,3.53,29.6
0.36894,22,5.86,0,0.431,8,8.4,9,7,330,19.1,396.9,3.54,42.8
0.04819,80,3.64,0,0.392,6,32,9,1,315,16.4,392.89,6.57,21.9
0.03548,80,3.64,0,0.392,6,19.1,9,1,315,16.4,395.18,9.25,20.9
0.01538,90,3.75,0,0.394,7,34.2,6,3,244,15.9,386.34,3.11,44
0.61154,20,3.97,0,0.647,9,86.9,2,5,264,13,389.7,5.12,50
0.66351,20,3.97,0,0.647,7,100,2,5,264,13,383.29,7.79,36
0.65665,20,3.97,0,0.647,7,100,2,5,264,13,391.93,6.9,30.1
0.54011,20,3.97,0,0.647,7,81.8,2,5,264,13,392.8,9.59,33.8
0.53412,20,3.97,0,0.647,7.52,89.4,2,5,264,13,388.37,7.26,43.1
0.52014,20,3.97,0,0.647,8,91.5,2,5,264,13,386.86,5.91,48.8
0.82526,20,3.97,0,0.647,7,94.5,2,5,264,13,393.42,11.25,31
0.55007,20,3.97,0,0.647,7,91.6,2,5,264,13,387.89,8.1,36.5
0.76162,20,3.97,0,0.647,5.56,62.8,2,5,264,13,392.4,10.45,22.8
0.7857,20,3.97,0,0.647,7,84.6,2,5,264,13,384.07,14.79,30.7
0.57834,20,3.97,0,0.575,8,67,2,5,264,13,384.54,7.44,50
0.5405,20,3.97,0,0.575,7.47,52.6,3,5,264,13,390.3,3.16,43.5
0.09065,20,6.96,1,0.464,5.92,61.5,4,3,223,18.6,391.34,13.65,20.7
0.29916,20,6.96,0,0.464,6,42.1,4,3,223,18.6,388.65,13,21.1
0.16211,20,6.96,0,0.464,6.24,16.3,4,3,223,18.6,396.9,6.59,25.2
0.1146,20,6.96,0,0.464,7,58.7,4,3,223,18.6,394.96,7.73,24.4
0.22188,20,6.96,1,0.464,8,51.8,4,3,223,18.6,390.77,6.58,35.2
0.05644,40,6.41,1,0.447,7,32.9,4,4,254,17.6,396.9,3.53,32.4
0.09604,40,6.41,0,0.447,7,42.8,4,4,254,17.6,396.9,2.98,32
0.10469,40,6.41,1,0.447,7,49,5,4,254,17.6,389.25,6.05,33.2
0.06127,40,6.41,1,0.447,7,27.6,5,4,254,17.6,393.45,4.16,33.1
0.07978,40,6.41,0,0.447,6,32.1,4,4,254,17.6,396.9,7.19,29.1
0.21038,20,3.33,0,0.4429,7,32.2,4,5,216,14.9,396.9,4.85,35.1
0.03578,20,3.33,0,0.4429,7.82,64.5,5,5,216,14.9,387.31,3.76,45.4
0.03705,20,3.33,0,0.4429,7,37.2,5,5,216,14.9,392.23,4.59,35.4
0.06129,20,3.33,1,0.4429,8,49.7,5,5,216,14.9,377.07,3.01,46
0.01501,90,1.21,1,0.401,8,24.8,6,1,198,13.6,395.52,3.16,50
0.00906,90,2.97,0,0.4,7,20.8,7,1,285,15.3,394.72,7.85,32.2
0.01096,55,2.25,0,0.389,6,31.9,7,1,300,15.3,394.72,8.23,22
0.01965,80,1.76,0,0.385,6.23,31.5,9,1,241,18.2,341.6,12.93,20.1
0.03871,52.5,5.32,0,0.405,6,31.3,7,6,293,16.6,396.9,7.14,23.2
0.0459,52.5,5.32,0,0.405,6,45.6,7,6,293,16.6,396.9,7.6,22.3
0.04297,52.5,5.32,0,0.405,7,22.9,7,6,293,16.6,371.72,9.51,24.8
0.03502,80,4.95,0,0.411,7,27.9,5,4,245,19.2,396.9,3.33,28.5
0.07886,80,4.95,0,0.411,7,27.7,5,4,245,19.2,396.9,3.56,37.3
0.03615,80,4.95,0,0.411,6.63,23.4,5,4,245,19.2,396.9,4.7,27.9
0.08265,0,13.92,0,0.437,6,18.4,6,4,289,16,396.9,8.58,23.9
0.08199,0,13.92,0,0.437,6,42.3,6,4,289,16,396.9,10.4,21.7
0.12932,0,13.92,0,0.437,7,31.1,6,4,289,16,396.9,6.27,28.6
0.05372,0,13.92,0,0.437,7,51,6,4,289,16,392.85,7.39,27.1
0.14103,0,13.92,0,0.437,5.79,58,6.32,4,289,16,396.9,15.84,20.3
0.06466,70,2.24,0,0.4,6,20.1,8,5,358,14.8,368.24,4.97,22.5
0.05561,70,2.24,0,0.4,7,10,8,5,358,14.8,371.58,4.74,29
0.04417,70,2.24,0,0.4,7,47.4,8,5,358,14.8,390.86,6.07,24.8
0.03537,34,6.09,0,0.433,6.59,40.4,5,7,329,16.1,395.75,9.5,22
0.09266,34,6.09,0,0.433,6,18.4,5,7,329,16.1,383.61,8.67,26.4
0.1,34,6.09,0,0.433,7,17.7,5,7,329,16.1,390.43,4.86,33.1
0.05515,33,2.18,0,0.472,7,41.1,4,7,222,18.4,393.68,6.93,36.1
0.05479,33,2.18,0,0.472,7,58.1,3.37,7,222,18.4,393.36,8.93,28.4
0.07503,33,2.18,0,0.472,7.42,71.9,3,7,222,18.4,396.9,6.47,33.4
0.04932,33,2.18,0,0.472,7,70.3,3,7,222,18.4,396.9,7.53,28.2
0.49298,0,9.9,0,0.544,7,82.5,3,4,304,18.4,396.9,4.54,22.8
0.3494,0,9.9,0,0.544,6,76.7,3,4,304,18.4,396.24,9.97,20.3
3,0,9.9,0,0.544,5,37.8,3,4,304,18.4,350.45,12.64,16.1
0.79041,0,9.9,0,0.544,6,52.8,3,4,304,18.4,396.9,5.98,22.1
0.26169,0,9.9,0,0.544,6,90.4,3,4,304,18.4,396.3,11.72,19.4
0.26938,0,9.9,0,0.544,6,82.8,3,4,304,18.4,393.39,7.9,21.6
0.3692,0,9.9,0,0.544,7,87.3,4,4,304,18.4,395.69,9.28,23.8
